gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,1,Blue,top,Soboro,oe:player:38e0af7278d6769d0c81d7c4b47ac1e,Fredit BRION Challengers,oe:team:68911b3329146587617ab2973106e23,Renekton,Karma,Caitlyn,Syndra,Thresh,Lulu,1713,0,2,3,2,9,19,0,0,0,0,0,0,0,0,0.3152,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,15768,552.2942,0.278784,1072.3993,777.7933,8,0.2802,6,0.2102,5,26,0.9107,10934,7164,250.9282,0.253859,10275,,231,220,11,,,8.0911,3228,4909,89,3176,4953,81,52,-44,8,0,0,0,0,0,0,5025,7560,135,4634,7215,121,391,345,14,0,1,0,0,1,0
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,2,Blue,jng,Raptor,oe:player:637ed20b1e41be1c51bd1a4cb211357,Fredit BRION Challengers,oe:team:68911b3329146587617ab2973106e23,Xin Zhao,Karma,Caitlyn,Syndra,Thresh,Lulu,1713,0,2,5,6,9,19,0,0,0,0,1,0,1,0,0.3152,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,11765,412.0841,0.208009,944.2732,650.1576,6,0.2102,18,0.6305,6,48,1.6813,9138,5368,188.0210,0.19022,8750,,148,33,115,,,5.1839,3429,3484,58,2944,3052,63,485,432,-5,1,2,0,0,0,1,5366,5320,89,4825,5595,100,541,-275,-11,2,3,2,0,5,1
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,3,Blue,mid,Feisty,oe:player:d1ae0e2f9f3ac1e0e0cdcb86504ca77,Fredit BRION Challengers,oe:team:68911b3329146587617ab2973106e23,LeBlanc,Karma,Caitlyn,Syndra,Thresh,Lulu,1713,0,2,2,3,9,19,0,0,0,0,0,0,0,0,0.3152,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,14258,499.4046,0.252086,581.6462,227.7758,19,0.6655,7,0.2452,7,29,1.0158,9715,5945,208.2312,0.210665,8725,,193,177,16,,,6.7601,3283,4556,81,3121,4485,81,162,71,0,0,1,0,0,0,1,5118,6942,120,5593,6789,119,-475,153,1,0,3,0,3,3,2
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,4,Blue,bot,Gamin,oe:player:998b3e49b01ecc41eacc392477a98cf,Fredit BRION Challengers,oe:team:68911b3329146587617ab2973106e23,Samira,Karma,Caitlyn,Syndra,Thresh,Lulu,1713,0,2,4,2,9,19,0,0,0,0,1,0,1,0,0.3152,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,11106,389.0018,0.196358,463.8529,218.8792,12,0.4203,6,0.2102,4,25,0.8757,10605,6835,239.4046,0.242201,10425,,226,208,18,,,7.9159,3600,3103,78,3304,2838,90,296,265,-12,1,1,0,0,0,0,5461,4591,115,6254,5934,149,-793,-1343,-34,2,1,2,3,3,0
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,5,Blue,sup,Loopy,oe:player:e9741b3a238723ea6380ef2113fae63,Fredit BRION Challengers,oe:team:68911b3329146587617ab2973106e23,Leona,Karma,Caitlyn,Syndra,Thresh,Lulu,1713,0,1,5,6,9,19,0,0,0,0,1,1,0,0,0.3152,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,3663,128.3012,0.0647631,475.0263,490.1226,29,1.0158,14,0.4904,11,69,2.4168,6678,2908,101.8564,0.103054,6395,,42,42,0,,,1.4711,2678,2161,16,2150,2748,15,528,-587,1,1,1,0,0,0,1,3836,3588,28,3393,4085,21,443,-497,7,1,2,2,0,6,2
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,6,Red,top,DnDn,oe:player:341e10748bb6d388250fd1f013e45a4,Nongshim RedForce Challengers,oe:team:d2dc3681437e2beb2bb4742477108ff,Gragas,Lee Sin,Twisted Fate,Zoe,Nautilus,Rell,1713,1,1,1,12,19,9,0,0,0,0,0,0,0,0,0.6655,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,17455,611.3835,0.218428,911.8739,1210.2977,15,0.5254,2,0.0701,8,30,1.0508,10001,6231,218.2487,0.18453,9750,,229,221,8,,,8.0210,3176,4953,81,3228,4909,89,-52,44,-8,0,0,0,0,0,0,4634,7215,121,5025,7560,135,-391,-345,-14,0,1,0,0,1,0
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,7,Red,jng,Sylvie,oe:player:1a75a7cf8c98442be881fed562346f5,Nongshim RedForce Challengers,oe:team:d2dc3681437e2beb2bb4742477108ff,Viego,Lee Sin,Twisted Fate,Zoe,Nautilus,Rell,1713,1,4,1,10,19,9,1,0,0,0,0,0,0,0,0.6655,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,1,0,10564,370.0175,0.132195,838.6690,530.4378,8,0.2802,17,0.5954,19,39,1.3660,10293,6523,228.4764,0.193177,8750,,183,47,136,,,6.4098,2944,3052,63,3429,3484,58,-485,-432,5,0,0,1,1,2,0,4825,5595,100,5366,5320,89,-541,275,11,0,5,1,2,3,2
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,8,Red,mid,FIESTA,oe:player:5ee64eb3feb02e60832a2265db54f71,Nongshim RedForce Challengers,oe:team:d2dc3681437e2beb2bb4742477108ff,Viktor,Lee Sin,Twisted Fate,Zoe,Nautilus,Rell,1713,1,6,3,12,19,9,2,0,0,0,0,0,0,0,0.6655,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,20690,724.6935,0.25891,531.6287,426.9352,15,0.5254,4,0.1401,6,29,1.0158,11532,7762,271.8739,0.229868,8900,,216,196,20,,,7.5657,3121,4485,81,3283,4556,81,-162,-71,0,0,0,1,0,1,0,5593,6789,119,5118,6942,120,475,-153,-1,3,3,2,0,3,0
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,9,Red,bot,vital,oe:player:252de481e83ab0bc87aada93aeb424c,Nongshim RedForce Challengers,oe:team:d2dc3681437e2beb2bb4742477108ff,Jinx,Lee Sin,Twisted Fate,Zoe,Nautilus,Rell,1713,1,8,2,10,19,9,3,0,0,0,0,0,0,0,0.6655,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,26687,934.7461,0.333955,385.0088,186.6550,9,0.3152,21,0.7356,2,40,1.4011,14018,10248,358.9492,0.303486,12800,,319,299,20,,,11.1734,3304,2838,90,3600,3103,78,-296,-265,12,0,0,0,1,1,0,6254,5934,149,5461,4591,115,793,1343,34,3,3,0,2,1,2
ESPORTSTMNT01_2690210,complete,,LCK CL,2022,Spring,0,2022-01-10 07:44:08,1,12.01,10,Red,sup,Blessing,oe:player:f1347562011016753e18334ffe7a5c9,Nongshim RedForce Challengers,oe:team:d2dc3681437e2beb2bb4742477108ff,Alistar,Lee Sin,Twisted Fate,Zoe,Nautilus,Rell,1713,1,0,2,18,19,9,0,0,0,0,0,0,0,1,0.6655,0.9807,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,0,4516,158.1786,0.0565122,342.4869,518.0035,46,1.6112,7,0.2452,10,67,2.3468,6773,3003,105.1839,0.0889393,5650,,29,29,0,,,1.0158,2150,2748,15,2678,2161,16,-528,587,-1,0,0,1,1,1,0,3393,4085,21,3836,3588,28,-443,497,-7,0,6,2,1,2,2
